uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did,text_clean,tokens,tokens_str
at://did:plc:vlhpwoomawpontli3gpvxavc/app.bsky.feed.post/3mcbj5orpck26,bafyreieete4l7vahbnk6qm2uflak4atu25xs7mayr4mr4jjitb2ns6vl3q,"Ivy já fazendo o mutirão #forababu 
#bbb26",2026-01-13 02:30:44.171000+00:00,0,0,2,2026-01-13 02:30:50.730000+00:00,thainventa.bsky.social,Thaisa,did:plc:vlhpwoomawpontli3gpvxavc,ivy já fazendo o mutirão #forababu #bbb26,"['ivy', 'fazendo', 'mutirão']",ivy fazendo mutirão
at://did:plc:ksh7ckrh4fyn3oog46xlovsf/app.bsky.feed.post/3mcbnq4ald223,bafyreicqqeylyp4mz623co3k2ncdqzw2ugmgijektd73lvliojduezaiuy,"Ele é muito chato kkkkkk na outra edição torci pra ele sair, nesse, nem começou já sou #ForaBabu kkkkkkkkkk",2026-01-13 03:52:37.236000+00:00,0,0,1,2026-01-13 03:52:38.230000+00:00,francastro.bsky.social, Фран Кастро,did:plc:ksh7ckrh4fyn3oog46xlovsf,ele é muito chato kkkkkk na outra edição torci pra ele sair nesse nem começou já sou #forababu kkkkkkkkkk,"['chato', 'kkkkkk', 'outra', 'edição', 'torci', 'sair', 'começou', 'sou', 'kkkkkkkkkk']",chato kkkkkk outra edição torci sair começou sou kkkkkkkkkk
at://did:plc:ksh7ckrh4fyn3oog46xlovsf/app.bsky.feed.post/3mcbmbkygas23,bafyreibshi4geq74bmmvq754hua7u2qtgght2tshtm6ahnglflypnfn36u,"O @BBB nem começou e já sou #ForaBabu 

#TeamMarcelinho #BBB26 #RedeBBB",2026-01-13 03:26:35.640000+00:00,0,0,0,2026-01-13 03:26:36.036000+00:00,francastro.bsky.social, Фран Кастро,did:plc:ksh7ckrh4fyn3oog46xlovsf,o @bbb nem começou e já sou #forababu #teammarcelinho #bbb26 #redebbb,"['começou', 'sou']",começou sou
at://did:plc:ksh7ckrh4fyn3oog46xlovsf/app.bsky.feed.post/3mccize6uv22u,bafyreifgoqffkrwy4s74n5hkt7v6izpbyyj2kaut3rykw2swbqifbbjmvm,"Amo essa amizade!! 

@oxemarcelinho: “achei q a Fernanda ia entrar” 
@anapaularenault: “e eu a Ivy pra votar no Babu”   

Aninha amore, já somos #ForaBabu 

#RedeBBB #BBB26",2026-01-13 12:00:58.586000+00:00,0,0,0,2026-01-13 12:01:05.336000+00:00,francastro.bsky.social, Фран Кастро,did:plc:ksh7ckrh4fyn3oog46xlovsf,amo essa amizade @oxemarcelinho achei q a fernanda ia entrar @anapaularenault e eu a ivy pra votar no babu aninha amore já somos #forababu #redebbb #bbb26,"['amo', 'amizade', 'achei', 'fernanda', 'entrar', 'ivy', 'votar', 'babu', 'aninha', 'amore', 'somos']",amo amizade achei fernanda entrar ivy votar babu aninha amore somos
at://did:plc:q3rjlpj5i7leyv2cef7dfwfc/app.bsky.feed.post/3mcgvahxb2c2u,bafyreid3f3nlswx2dema2cpszxqpcidzts3v7lvcw7r7pzgesggxprd2gq,"E quando o Babu descobrir que a Ana Paula puxou um #ForaBabu na edição dele????
#BBB26",2026-01-15 05:50:21.267000+00:00,1,0,0,2026-01-15 05:50:21.030000+00:00,l3l3ck4.bsky.social,L3l3ck4 ,did:plc:q3rjlpj5i7leyv2cef7dfwfc,e quando o babu descobrir que a ana paula puxou um #forababu na edição dele #bbb26,"['babu', 'descobrir', 'ana', 'paula', 'puxou', 'edição']",babu descobrir ana paula puxou edição
at://did:plc:wrfz6gvjqduh6kwh5rzvr36i/app.bsky.feed.post/3mcbhktotns2q,bafyreier7oeuxpoqrhftszvbfyigh42qotvwve6cnygn24f42kbqm5gojq,ja sou #TeamBabu ✌️✨ #BBB26,2026-01-13 02:02:18.044000+00:00,0,0,0,2026-01-13 02:02:18.330000+00:00,jaquezux.bsky.social,jaque.,did:plc:wrfz6gvjqduh6kwh5rzvr36i,ja sou #teambabu #bbb26,['sou'],sou
at://did:plc:jjcfdyu7ydtuud7jg6ganwtw/app.bsky.feed.post/3mcbfrhgohk2p,bafyreidodijeex5otzfcwneos7ydbjs3dnt4e6magucmm2drvyclio5zkm,se o babu voltar mesmo serei #teamBabu até o fim,2026-01-13 01:30:12.591000+00:00,0,0,0,2026-01-13 01:30:13.936000+00:00,voltandoao405.bsky.social,concurso de sosia davi brito,did:plc:jjcfdyu7ydtuud7jg6ganwtw,se o babu voltar mesmo serei #teambabu até o fim,"['babu', 'voltar', 'serei', 'fim']",babu voltar serei fim
at://did:plc:iprsguqsz7pzgpdckko2qu5c/app.bsky.feed.post/3mcbiht62z227,bafyreidqok6znszegzbzpj4hm23nr4qkjq3oci7h7uz7plwzlhc6ftd4xa,E mais uma vez vamos de #TeamBabu,2026-01-13 02:18:30.572000+00:00,0,0,0,2026-01-13 02:18:29.696000+00:00,elimafra.bsky.social,Elisa Mafra,did:plc:iprsguqsz7pzgpdckko2qu5c,e mais uma vez vamos de #teambabu,"['vez', 'vamos']",vez vamos
at://did:plc:wptswlp3mrcsiyfln6ugricj/app.bsky.feed.post/3mcdjvode7s2h,bafyreicnvrshhap2iyv42cczrwuavmscafvgty72tiyrpu6iu3wfikssdq,"Eu 3h atrás: Esse ano não vou assistir BBB
Eu vendo que o Babu está  no BBB: Esqueça tudo o que falei. Vou ter que assistir sim e ser #TeamBabu mais um ano!",2026-01-13 21:49:28.484000+00:00,0,0,0,2026-01-13 21:49:30.228000+00:00,elosemh.bsky.social,Elo 🚩🇪🇪🫰🏻,did:plc:wptswlp3mrcsiyfln6ugricj,eu 3h atrás esse ano não vou assistir bbb eu vendo que o babu está no bbb esqueça tudo o que falei vou ter que assistir sim e ser #teambabu mais um ano,"['atrás', 'ano', 'vou', 'assistir', 'vendo', 'babu', 'esqueça', 'tudo', 'falei', 'vou', 'ter', 'assistir', 'sim', 'ser', 'ano']",atrás ano vou assistir vendo babu esqueça tudo falei vou ter assistir sim ser ano
at://did:plc:ksh7ckrh4fyn3oog46xlovsf/app.bsky.feed.post/3mcmwsf7uec2o,bafyreidvjda6ttchk42k6liix4tpp75sqznm6qsqfc7ooicqytm3ipennm,"É hoje que vou levar block e unfollow dos meus seguidores no twitter por causa do @oxemarcelinho e do @BBB
 kkkkkkkkkkkkkkkkkkkkkkk 

 #TeamMarcelinho #TeamMarcelo #MarcelinhoNoBBB #BBB26 #RedeBBB",2026-01-17 15:34:14.558000+00:00,0,0,0,2026-01-17 15:34:15.237000+00:00,francastro.bsky.social, Фран Кастро,did:plc:ksh7ckrh4fyn3oog46xlovsf,é hoje que vou levar block e unfollow dos meus seguidores no twitter por causa do @oxemarcelinho e do @bbb kkkkkkkkkkkkkkkkkkkkkkk #teammarcelinho #teammarcelo #marcelinhonobbb #bbb26 #redebbb,"['hoje', 'vou', 'levar', 'block', 'unfollow', 'seguidores', 'twitter', 'causa', 'kkkkkkkkkkkkkkkkkkkkkkk']",hoje vou levar block unfollow seguidores twitter causa kkkkkkkkkkkkkkkkkkkkkkk
