Id,Label,Type,Frequency
#redebbb,#redebbb,hashtag,71
#alereality,#alereality,hashtag,26
#ibahia,#ibahia,hashtag,21
#teammarcelinho,#teammarcelinho,hashtag,16
#casadevidro,#casadevidro,hashtag,16
#maratonabigday,#maratonabigday,hashtag,16
#marcelinhonobbb,#marcelinhonobbb,hashtag,13
#realityshow,#realityshow,hashtag,13
#tv,#tv,hashtag,13
#teammarcelo,#teammarcelo,hashtag,11
#tvglobo,#tvglobo,hashtag,11
#cnnpop,#cnnpop,hashtag,9
#pipocabbb,#pipocabbb,hashtag,6
#seleçãobbb,#seleçãobbb,hashtag,5
#forababu,#forababu,hashtag,5
#teambabu,#teambabu,hashtag,4
#brigido,#brigido,hashtag,4
#julianofloss,#julianofloss,hashtag,4
#milena,#milena,hashtag,4
#webtvbrasileira,#webtvbrasileira,hashtag,3
#globo,#globo,hashtag,3
#pedro,#pedro,hashtag,3
#webtv,#webtv,hashtag,3
