Source,Target,Weight
fifisdotelefone.bsky.social,#redebbb,44
alexandrefelipe.bsky.social,#alereality,26
ibahia.bsky.social,#ibahia,21
francastro.bsky.social,#redebbb,17
francastro.bsky.social,#teammarcelinho,16
ibahia.bsky.social,#realityshow,13
francastro.bsky.social,#marcelinhonobbb,13
ibahia.bsky.social,#tv,13
ibahia.bsky.social,#tvglobo,11
francastro.bsky.social,#teammarcelo,11
fifisdotelefone.bsky.social,#casadevidro,10
lehreai.bsky.social,#cnnpop,9
francastro.bsky.social,#maratonabigday,9
francastro.bsky.social,#pipocabbb,6
fifisdotelefone.bsky.social,#seleçãobbb,5
fifisdotelefone.bsky.social,#maratonabigday,5
ibahia.bsky.social,#brigido,4
ibahia.bsky.social,#julianofloss,4
francastro.bsky.social,#forababu,3
glitical.bsky.social,#redebbb,3
ibahia.bsky.social,#globo,3
webtvbrasileira.com,#webtv,3
webtvbrasileira.com,#webtvbrasileira,3
ibahia.bsky.social,#milena,3
ibahia.bsky.social,#pedro,3
francastro.bsky.social,#casadevidro,2
leoavalon.bsky.social,#redebbb,2
