node,node_type,frequency,degree,weighted_degree,betweenness,modularity_class
francastro.bsky.social,author,18,8,77,0.03508771929824562,14
ibahia.bsky.social,author,21,9,75,0.02177858439201452,16
#redebbb,hashtag,69,4,66,0.012704174228675136,12
fifisdotelefone.bsky.social,author,64,4,64,0.006654567453115548,12
alexandrefelipe.bsky.social,author,26,1,26,0.0,20
#alereality,hashtag,26,1,26,0.0,20
#ibahia,hashtag,21,1,21,0.0,16
#teammarcelinho,hashtag,16,1,16,0.0,14
#maratonabigday,hashtag,15,2,14,0.0,14
#marcelinhonobbb,hashtag,13,1,13,0.0,14
#tv,hashtag,13,1,13,0.0,16
#realityshow,hashtag,13,1,13,0.0,16
#casadevidro,hashtag,13,2,12,0.01088929219600726,12
#teammarcelo,hashtag,11,1,11,0.0,14
#tvglobo,hashtag,11,1,11,0.0,16
lehreai.bsky.social,author,10,1,9,0.0,19
#cnnpop,hashtag,9,1,9,0.0,19
webtvbrasileira.com,author,3,2,6,0.0006049606775559589,15
#pipocabbb,hashtag,6,1,6,0.0,14
#seleçãobbb,hashtag,5,1,5,0.0,12
#brigido,hashtag,4,1,4,0.0,16
#julianofloss,hashtag,4,1,4,0.0,16
#milena,hashtag,4,1,3,0.0,16
glitical.bsky.social,author,3,1,3,0.0,12
#forababu,hashtag,3,1,3,0.0,14
#globo,hashtag,3,1,3,0.0,16
#webtvbrasileira,hashtag,3,1,3,0.0,15
#webtv,hashtag,3,1,3,0.0,15
#pedro,hashtag,3,1,3,0.0,16
leoavalon.bsky.social,author,3,1,2,0.0,12
cnn-brasil.bsky.social,author,20,0,0,0.0,5
marish.bsky.social,author,15,0,0,0.0,24
siaht.bsky.social,author,15,0,0,0.0,29
flipboardbr.flipboard.com.ap.brid.gy,author,12,0,0,0.0,13
trending-pt.bsky.social,author,12,0,0,0.0,33
ofuxicooficial.bsky.social,author,10,0,0,0.0,26
carinavd.bsky.social,author,7,0,0,0.0,3
sitef5.bsky.social,author,7,0,0,0.0,30
sitenatelinha.bsky.social,author,7,0,0,0.0,31
centralbbb.bsky.social,author,6,0,0,0.0,4
ducellos.bsky.social,author,6,0,0,0.0,8
marcelplasse.bsky.social,author,6,0,0,0.0,22
fabiruiva.bsky.social,author,5,0,0,0.0,9
mulherbeliche.bsky.social,author,5,0,0,0.0,25
tracklist.com.br,author,5,0,0,0.0,32
windblow.org,author,5,0,0,0.0,0
camarotedacpi.bsky.social,author,4,0,0,0.0,2
danielvaz.bsky.social,author,4,0,0,0.0,6
daviddenislobao.bsky.social,author,4,0,0,0.0,7
bttlborn.bsky.social,author,3,0,0,0.0,1
feliep.bsky.social,author,3,0,0,0.0,10
felipeabal.viracasacas.com,author,3,0,0,0.0,11
isabara.bsky.social,author,3,0,0,0.0,17
jorgeluizbrasil.bsky.social,author,3,0,0,0.0,18
marcelahippe.bsky.social,author,3,0,0,0.0,21
mariliamoscou.bsky.social,author,3,0,0,0.0,23
pipocamoderna.bsky.social,author,3,0,0,0.0,27
rafaelxum.bsky.social,author,3,0,0,0.0,28
tutibraga.bsky.social,author,3,0,0,0.0,34
