Id,Label,Type,Frequency
alexandrefelipe.bsky.social,alexandrefelipe.bsky.social,author,26
bttlborn.bsky.social,bttlborn.bsky.social,author,3
camarotedacpi.bsky.social,camarotedacpi.bsky.social,author,4
carinavd.bsky.social,carinavd.bsky.social,author,7
centralbbb.bsky.social,centralbbb.bsky.social,author,6
cnn-brasil.bsky.social,cnn-brasil.bsky.social,author,20
danielvaz.bsky.social,danielvaz.bsky.social,author,4
daviddenislobao.bsky.social,daviddenislobao.bsky.social,author,4
ducellos.bsky.social,ducellos.bsky.social,author,6
fabiruiva.bsky.social,fabiruiva.bsky.social,author,5
feliep.bsky.social,feliep.bsky.social,author,3
felipeabal.viracasacas.com,felipeabal.viracasacas.com,author,3
fifisdotelefone.bsky.social,fifisdotelefone.bsky.social,author,64
flipboardbr.flipboard.com.ap.brid.gy,flipboardbr.flipboard.com.ap.brid.gy,author,12
francastro.bsky.social,francastro.bsky.social,author,18
glitical.bsky.social,glitical.bsky.social,author,3
ibahia.bsky.social,ibahia.bsky.social,author,21
isabara.bsky.social,isabara.bsky.social,author,3
jorgeluizbrasil.bsky.social,jorgeluizbrasil.bsky.social,author,3
lehreai.bsky.social,lehreai.bsky.social,author,10
leoavalon.bsky.social,leoavalon.bsky.social,author,3
marcelahippe.bsky.social,marcelahippe.bsky.social,author,3
marcelplasse.bsky.social,marcelplasse.bsky.social,author,6
mariliamoscou.bsky.social,mariliamoscou.bsky.social,author,3
marish.bsky.social,marish.bsky.social,author,15
mulherbeliche.bsky.social,mulherbeliche.bsky.social,author,5
ofuxicooficial.bsky.social,ofuxicooficial.bsky.social,author,10
pipocamoderna.bsky.social,pipocamoderna.bsky.social,author,3
rafaelxum.bsky.social,rafaelxum.bsky.social,author,3
siaht.bsky.social,siaht.bsky.social,author,15
sitef5.bsky.social,sitef5.bsky.social,author,7
sitenatelinha.bsky.social,sitenatelinha.bsky.social,author,7
tracklist.com.br,tracklist.com.br,author,5
trending-pt.bsky.social,trending-pt.bsky.social,author,12
tutibraga.bsky.social,tutibraga.bsky.social,author,3
webtvbrasileira.com,webtvbrasileira.com,author,3
windblow.org,windblow.org,author,5
#forababu,#forababu,hashtag,3
#teammarcelinho,#teammarcelinho,hashtag,16
#redebbb,#redebbb,hashtag,69
#teammarcelo,#teammarcelo,hashtag,11
#marcelinhonobbb,#marcelinhonobbb,hashtag,13
#maratonabigday,#maratonabigday,hashtag,15
#pipocabbb,#pipocabbb,hashtag,6
#casadevidro,#casadevidro,hashtag,13
#alereality,#alereality,hashtag,26
#cnnpop,#cnnpop,hashtag,9
#ibahia,#ibahia,hashtag,21
#tv,#tv,hashtag,13
#realityshow,#realityshow,hashtag,13
#tvglobo,#tvglobo,hashtag,11
#globo,#globo,hashtag,3
#brigido,#brigido,hashtag,4
#seleçãobbb,#seleçãobbb,hashtag,5
#webtvbrasileira,#webtvbrasileira,hashtag,3
#webtv,#webtv,hashtag,3
#pedro,#pedro,hashtag,3
#julianofloss,#julianofloss,hashtag,4
#milena,#milena,hashtag,4
