Source,Target,Weight
ana,paula,132
floss,juliano,62
alberto,cowboy,47
ana,renault,40
paula,renault,40
jordana,pedro,30
paula,pedro,21
ana,pedro,20
aline,paula,20
líder,prova,17
aline,ana,17
casa,vidro,16
bsky,social,12
alberto,líder,12
cowboy,líder,12
itens,minutos,12
bsky,últimos,12
anúncio,itens,12
itens,social,12
anúncio,minutos,12
anúncio,social,12
bsky,itens,12
anúncio,últimos,12
bsky,minutos,12
itens,últimos,12
anúncio,bsky,12
minutos,social,12
aline,milena,12
into,posted,12
minutos,últimos,12
brigido,paula,12
social,últimos,12
juliano,sena,11
entretenimento,into,11
entretenimento,posted,11
reality,show,11
floss,marina,11
marina,sena,11
floss,sena,11
juliano,marina,11
leandro,matheus,11
ana,brigido,10
casa,jordana,10
milena,sol,10
ana,ser,10
beijar,jordana,9
aline,sarah,9
babu,santana,9
ofuxico,show,9
paula,ser,9
milena,pedro,9
paula,sarah,9
pedro,ser,9
assédio,jordana,9
chaiany,matheus,9
chaiany,leandro,9
ofuxico,reality,9
milena,paula,9
2026,pipocamoderna,9
castelli,henri,8
assédio,pedro,8
alberto,prova,8
cowboy,prova,8
andrade,sarah,8
chaiany,gabriela,8
gabriela,leandro,8
flipboardbr,posted,8
flipboardbr,into,8
babu,ver,8
2026,veja,8
pedro,samira,8
minutos,paula,8
ana,sarah,8
paula,últimos,8
após,jordana,8
gabriela,matheus,8
beijar,pedro,8
breno,milena,8
milena,ser,7
casa,samira,7
jonas,sarah,7
milena,tia,7
ana,prova,7
entretenimento,flipboardbr,7
branco,quarto,7
bsky,paula,7
itens,paula,7
ana,brígido,7
paula,social,7
entre,milena,7
ana,cowboy,7
brígido,paula,7
anúncio,paula,7
2026,natelinha,7
2026,uol,7
natelinha,veja,7
ana,falando,7
gente,paula,7
ana,gente,7
ana,milena,7
uol,veja,7
jordana,ser,7
cowboy,paula,7
casa,pedro,7
natelinha,uol,7
paula,prova,7
juliano,pedro,7
líder,paula,7
milena,últimos,6
floss,ter,6
floss,twink,6
juliano,ter,6
juliano,twink,6
pode,ser,6
breno,samira,6
ana,babu,6
diversao,ibahia,6
pedro,renault,6
brigido,norte,6
aline,campos,6
alemão,cowboy,6
alberto,alemão,6
cowboy,jonas,6
casa,cowboy,6
após,pedro,6
despensa,pedro,6
brigido,vidro,6
despensa,jordana,6
alberto,ana,6
alberto,paula,6
brigido,casa,6
samira,sul,6
babu,novo,6
2026,ana,6
sarah,ser,6
2026,cowboy,6
falar,vamos,6
2026,alberto,6
floss,pedro,6
2026,paula,6
paula,ter,6
falando,paula,6
ana,ter,6
cara,paula,6
ana,cara,6
líder,primeira,6
primeira,prova,6
babu,tudo,6
babu,paula,6
babu,vou,5
anúncio,milena,5
bsky,milena,5
aline,social,5
aline,últimos,5
aline,minutos,5
aline,anúncio,5
aline,bsky,5
aline,itens,5
cowboy,vence,5
cowboy,primeira,5
alberto,vence,5
cowboy,leandro,5
casa,leandro,5
milena,prova,5
paula,tudo,5
ana,tudo,5
casa,milena,5
ana,anos,5
leandro,quarto,5
líder,vence,5
branco,leandro,5
2026,renault,5
couto,solange,5
dentro,paula,5
fazer,paula,5
participante,pedro,5
ana,dentro,5
conheça,vidro,5
força,jordana,5
expulso,jordana,5
alberto,vilão,5
cowboy,edição,5
alberto,edição,5
brígido,prova,5
milena,minutos,5
itens,milena,5
gil,sarah,5
gabriela,milena,5
ana,líder,5
legendário,paula,5
falar,paula,5
ana,puta,5
ana,fazer,5
paula,solange,5
aline,pedro,5
babu,veteranos,5
prova,vence,5
ana,casa,5
pedro,veja,5
alberto,primeira,5
2026,brigido,5
milena,social,5
assistir,vou,5
pedro,sendo,5
ana,falar,5
jordana,reality,5
cowboy,vilão,5
expulso,pedro,5
casa,conheça,5
pedro,será,4
cowboy,into,4
milena,nada,4
líder,milena,4
entre,treta,4
alberto,into,4
alberto,entretenimento,4
maxiane,samira,4
cowboy,entretenimento,4
milena,pode,4
aline,plateia,4
samira,solange,4
milena,programa,4
ana,semana,4
paula,semana,4
jordana,participante,4
entretenimento,jordana,4
desistiu,jordana,4
pedro,tentar,4
pode,sarah,4
nao,sarah,4
jordana,sarah,4
sendo,será,4
jordana,sendo,4
equipe,jordana,4
força,pedro,4
jordana,show,4
líder,mira,4
primeira,vence,4
após,cowboy,4
casa,chaiany,4
alberto,casa,4
cowboy,são,4
acho,alberto,4
acho,cowboy,4
milena,treta,4
alberto,posted,4
juliano,ser,4
jordana,ofuxico,4
jordana,vidro,4
2026,leandro,4
cowboy,posted,4
após,prova,4
ana,veja,4
milena,paredão,4
babu,ter,4
confira,líder,4
alberto,após,4
paula,veja,4
entre,paula,4
casa,paula,4
vamos,vem,4
comigo,vem,4
matheus,samira,4
milena,samira,4
colocou,pódio,4
marciele,norte,4
alberto,renault,4
expulso,ser,4
ana,história,4
ganhe,quer,4
brígido,líder,4
comigo,falar,4
comigo,vamos,4
ana,programa,4
casa,entrar,4
ana,campos,4
jordana,sexual,4
desistiu,pedro,4
jordana,sair,4
ana,vez,4
parece,pedro,4
aline,renault,4
ana,couto,4
jordana,veja,4
pedro,sexual,4
paula,vez,4
ana,passar,4
nada,paula,4
passar,paula,4
ana,sempre,4
ana,solange,4
campos,paula,4
couto,paula,4
couto,renault,4
brígido,pedro,4
falar,vem,4
brigido,marciele,4
cowboy,renault,4
gente,pedro,4
cowboy,sarah,4
paula,quarto,4
ana,quarto,4
história,paula,4
ana,fez,4
paula,sempre,4
assim,babu,4
brígido,vem,4
pedro,sarah,4
cowboy,dia,4
falando,vem,4
paula,vem,4
aline,falando,4
causa,pedro,4
ana,floss,4
renault,solange,4
ana,vem,4
ana,nada,4
paula,puta,4
casa,entra,4
ana,entretenimento,4
babu,volta,4
2026,pedro,4
floss,paula,4
ana,entre,4
dona,jura,4
santana,veteranos,4
milena,sair,4
aline,sair,4
sair,sarah,4
fez,paula,4
paula,vamos,4
entretenimento,paula,4
ana,vamos,4
pedro,sair,4
aline,riscado,4
fazer,pedro,4
aline,ser,4
fazer,sarah,4
paula,sabe,4
ana,sabe,4
gente,samira,4
sim,ter,4
entre,sol,4
ana,ontem,4
pode,samira,4
aline,samira,4
chorando,samira,4
reality,samira,4
babu,ser,4
edição,paula,4
aline,vamos,3
aline,falar,3
samira,ser,3
aline,vem,3
edição,veteranos,3
casa,mulheres,3
anos,casa,3
leandro,veja,3
paula,sente,3
ana,sente,3
prova,resistência,3
pipocamoderna,resistência,3
marciele,samira,3
cowboy,mira,3
confira,cowboy,3
casa,últimos,3
alberto,veja,3
cara,fez,3
quarto,vivo,3
fazer,ser,3
dentro,ser,3
paula,são,3
ana,são,3
ontem,sarah,3
ontem,paula,3
milena,riscado,3
gente,sarah,3
falou,pedro,3
ana,assédio,3
ganhar,paula,3
chegou,final,3
jordana,será,3
ana,faz,3
ana,legendário,3
prova,renault,3
dar,paula,3
ana,dar,3
casa,entretenimento,3
são,vamos,3
semana,vamos,3
falar,são,3
falar,semana,3
entretenimento,renault,3
ana,tia,3
campos,milena,3
aline,paredão,3
cowboy,uol,3
cowboy,natelinha,3
alberto,natelinha,3
pedro,pipocamoderna,3
chaiany,paula,3
chaiany,final,3
chaiany,chegou,3
ana,ganhar,3
paula,quer,3
ana,quer,3
fora,paula,3
ana,fora,3
pedro,torcida,3
paula,torcida,3
paredão,sair,3
fazendo,paula,3
ana,fazendo,3
faz,paula,3
brigido,ibahia,3
brigido,diversao,3
babu,sabe,3
babu,deus,3
babu,falando,3
nunca,vou,3
juliano,solange,3
juliano,renault,3
juliano,paula,3
floss,solange,3
floss,renault,3
cowboy,veja,3
babu,prêmio,3
babu,vez,3
babu,casa,3
alberto,uol,3
babu,cara,3
babu,sendo,3
novo,sarah,3
paredão,paula,3
nada,sarah,3
ana,torcida,3
ana,paredão,3
paula,pessoas,3
ana,pessoas,3
2026,quarto,3
alberto,dia,3
mto,ser,3
queria,ver,3
frente,ver,3
babu,juliano,3
babu,floss,3
brigido,legendário,3
brigido,líder,3
dinâmica,vem,3
campos,renault,3
jonas,paula,3
paula,tivesse,3
ana,tivesse,3
coisa,paula,3
ana,pode,3
ana,jogo,3
ana,juliano,3
sarah,solange,3
começou,pipocamoderna,3
2026,começou,3
babu,sol,3
babu,nunca,3
alberto,pedro,3
alberto,jonas,3
casa,casal,3
cowboy,ver,3
cowboy,vendo,3
cara,enquanto,3
renault,ver,3
paula,ver,3
ana,ver,3
cara,pedro,3
ana,parece,3
