node,frequency,degree,weighted_degree,betweenness,modularity_class
paula,139,90,594,0.129904976987604,16
ana,135,86,549,0.1484574537969564,16
pedro,75,47,273,0.054483097521142956,2
jordana,63,42,202,0.0938584176972204,2
cowboy,57,35,202,0.03887793034460224,6
milena,80,36,184,0.03322311118380354,5
alberto,49,29,172,0.028061851944636746,6
juliano,66,21,149,0.04311844345634464,4
floss,64,20,146,0.01882170169854987,4
aline,35,25,145,0.019414084433016985,5
renault,41,20,144,0.023948429360438006,16
casa,45,26,125,0.041497773973432114,31
babu,70,31,124,0.07243648676122531,15
samira,60,27,105,0.06738615666887511,5
prova,28,21,105,0.016401927785988375,6
líder,27,19,104,0.02080541028447863,6
ser,39,21,100,0.027429270553143606,5
sarah,61,20,98,0.03073369051912146,5
2026,18,19,94,0.006928842284053247,10
últimos,16,10,85,0.0007066439991070356,13
minutos,15,9,81,0.0,13
social,13,8,77,0.0,13
anúncio,12,8,77,0.0,13
bsky,12,8,77,0.0,13
itens,12,8,77,0.0,13
brigido,44,16,76,0.02239277601430504,31
leandro,37,12,64,0.00716582521937733,10
entretenimento,16,11,58,0.002701818556488589,6
veja,13,13,57,0.010244833701378958,10
chaiany,15,11,51,0.008409705993009279,10
matheus,15,10,50,0.003374473324888038,10
após,16,11,44,0.010214786315579682,2
ter,26,10,44,0.00552778181068841,4
gabriela,15,9,44,0.004810817463179526,10
vem,12,12,43,0.007816831296816873,14
into,12,6,42,0.000677552202975932,6
posted,12,6,42,0.000677552202975932,6
reality,17,8,41,0.008376242501738356,2
falar,16,10,39,0.007937270117023639,14
quarto,12,10,38,0.002655299582814911,10
vidro,16,6,37,0.0029691068638057457,31
uol,7,8,36,0.00556849571910873,10
natelinha,7,8,36,0.00556849571910873,10
entre,17,9,35,0.009435601962648482,5
solange,11,9,34,0.004354520944856324,16
gente,23,8,34,0.0024961362114265103,16
horas,6,11,33,0.009130557706107654,10
falando,20,8,33,0.011613428343504073,5
sena,11,3,33,0.0,4
marina,11,3,33,0.0,4
vamos,9,8,31,0.0018185678953721732,14
brígido,21,6,31,0.0002172858195216652,6
fazer,15,8,30,0.002041740364856124,2
sair,17,8,29,0.0009499054657727573,5
cara,19,7,27,0.008267260347137732,16
pode,16,7,27,0.0018635560656837249,5
show,11,4,27,0.0,2
ver,18,7,26,0.01529447854324339,15
edição,16,7,26,0.01103528588653002,6
primeira,14,5,26,0.0,6
assédio,11,5,26,0.0029588892895780748,2
beijar,9,5,26,0.0019440866862431956,2
flipboardbr,8,4,26,0.0,6
ofuxico,10,4,25,0.0,2
resistência,5,8,24,0.00373118270918487,10
pipocamoderna,9,6,24,0.003682908128454469,10
branco,7,6,24,0.00019928562842374598,10
vence,5,5,24,0.0,6
sol,15,5,23,0.001177353619654377,5
paredão,9,7,22,0.0068543155209761335,5
sendo,17,6,22,0.0035034219897184206,2
programa,13,6,20,0.008286185205586572,5
campos,6,5,20,0.00038493371436032833,5
são,13,6,19,0.0007603210026421428,14
jonas,16,4,19,0.000680332565713911,6
tudo,13,4,19,0.0,16
vivo,7,6,18,0.005515746304422825,10
fez,11,5,17,0.0016327776082554304,16
couto,5,4,17,0.0,16
breno,11,3,17,0.0,5
vou,13,4,16,0.00049762864854823,15
dentro,12,4,16,0.0005641989936977317,16
norte,7,4,16,0.0005890131025363626,31
deus,16,5,15,0.0027640958032231033,4
torcida,9,5,15,0.0042656536075216175,4
final,7,5,15,0.005983005054407866,10
nada,14,4,15,0.00014424810674359896,16
despensa,6,3,15,0.0,2
anos,13,4,14,0.0004372520735665344,16
marciele,8,4,14,0.0035360105095049196,31
semana,5,4,14,9.015506671474937e-06,14
treta,5,4,14,0.0003576150979685058,5
expulso,5,3,14,0.0,2
parece,10,4,13,0.0002901275908848935,16
confira,6,4,13,0.0003499117382997657,6
santana,9,2,13,0.0,15
vendo,8,4,12,0.006697267351793135,6
veteranos,9,3,12,0.005790659935088352,15
sul,7,3,12,0.0008289114419658957,5
comigo,7,3,12,0.0,14
força,5,3,12,0.001298232960692391,2
twink,6,2,12,0.0,4
alemão,6,2,12,0.0,6
vez,13,3,11,0.0,16
acho,12,3,11,0.0006491164803461955,6
sabe,10,3,11,0.0,16
será,7,3,11,0.0,2
legendário,6,3,11,0.0011699031424960023,16
quer,11,3,10,0.006863805745882918,16
pódio,8,3,10,0.006851785070320952,14
mira,5,3,10,6.010337780983292e-06,6
ontem,5,3,10,0.005634691669671837,16
tia,8,2,10,0.0,5
conheça,6,2,10,0.0,31
vilão,5,2,10,0.0,6
quero,10,3,9,0.0001765634293582364,4
vídeo,8,3,9,0.0002563838373430873,2
jogo,7,3,9,0.0010265376849671634,16
participante,11,2,9,0.0,2
novo,11,2,9,0.0,15
puta,9,2,9,0.0,16
ibahia,6,2,9,0.0,31
diversao,6,2,9,0.0,31
sempre,8,2,8,0.0,16
assistir,7,2,8,0.0,15
sexual,5,2,8,0.0,2
passar,5,2,8,0.0,16
história,5,2,8,0.0,16
desistiu,5,2,8,0.0,2
castelli,8,1,8,0.0,19
andrade,8,1,8,0.0,5
henri,8,1,8,0.0,19
entrar,13,2,7,0.0,31
causa,11,2,7,0.0,2
dia,9,2,7,0.0,6
sim,6,2,7,2.5243418680129823e-05,4
plateia,5,2,7,0.0,5
riscado,5,2,7,0.0,5
maxiane,5,2,7,0.0,5
tentar,5,2,7,0.0,2
nunca,12,2,6,0.0,15
ganhar,10,2,6,1.2020675561966582e-05,16
sou,10,2,6,1.2020675561966582e-05,16
faz,9,2,6,1.2020675561966582e-05,16
briga,9,2,6,0.0006130544536602959,4
disse,9,2,6,1.2020675561966582e-05,16
falou,9,2,6,0.0006209550556827874,2
mundo,8,2,6,1.2020675561966582e-05,16
pessoas,8,2,6,1.2020675561966582e-05,16
fora,8,2,6,1.2020675561966582e-05,16
começou,7,2,6,9.015506671474937e-06,10
coisa,7,2,6,1.2020675561966582e-05,16
mulheres,7,2,6,0.0012404049250425017,31
enquanto,7,2,6,0.0,2
vida,7,2,6,1.2020675561966582e-05,16
maior,7,2,6,1.2020675561966582e-05,16
merda,7,2,6,1.2020675561966582e-05,16
lado,6,2,6,6.556732124709045e-06,4
teria,6,2,6,1.2020675561966582e-05,16
fazendo,6,2,6,1.2020675561966582e-05,16
interessante,6,2,6,0.0011299435028248588,15
tivesse,6,2,6,1.2020675561966582e-05,16
acha,6,2,6,1.2020675561966582e-05,16
chegou,6,2,6,0.0,10
dar,6,2,6,1.2020675561966582e-05,16
sente,5,2,6,1.2020675561966582e-05,16
qualquer,5,2,6,0.0,2
durante,5,2,6,0.0,6
pegar,5,2,6,6.556732124709045e-06,4
dinâmica,5,2,6,0.0,14
forma,5,2,6,0.0002563838373430873,2
gil,5,1,5,0.0,5
volta,9,1,4,0.0,15
assim,8,1,4,0.0,15
entra,7,1,4,0.0,31
nao,7,1,4,0.0,5
chorando,7,1,4,0.0,5
dona,6,1,4,0.0,40
colocou,6,1,4,0.0,14
jura,5,1,4,0.0,40
ganhe,5,1,4,0.0,16
equipe,5,1,4,0.0,2
diz,9,1,3,0.0,2
gostei,8,1,3,0.0,10
ano,7,1,3,0.0,15
espero,7,1,3,0.0,30
queria,6,1,3,0.0,15
momento,6,1,3,0.0,2
ricardinho,6,1,3,0.0,31
antes,6,1,3,0.0,5
prêmio,6,1,3,0.0,15
crime,6,1,3,0.0,2
seja,5,1,3,0.0,30
marcelo,5,1,3,0.0,5
casal,5,1,3,0.0,31
acompanhar,5,1,3,0.0,16
frente,5,1,3,0.0,15
mto,5,1,3,0.0,5
alguém,10,0,0,0.0,17
primeiro,9,0,0,0.0,18
achei,8,0,0,0.0,20
entrou,8,0,0,0.0,21
brasil,8,0,0,0.0,22
homem,8,0,0,0.0,23
teve,8,0,0,0.0,25
amo,7,0,0,0.0,27
outro,7,0,0,0.0,28
povo,7,0,0,0.0,29
outros,6,0,0,0.0,32
realmente,6,0,0,0.0,33
vezes,6,0,0,0.0,34
fim,6,0,0,0.0,35
kkkkkk,6,0,0,0.0,36
participantes,6,0,0,0.0,37
grande,6,0,0,0.0,38
fala,6,0,0,0.0,39
fosse,6,0,0,0.0,41
nome,6,0,0,0.0,42
olha,6,0,0,0.0,43
camarote,5,0,0,0.0,44
deu,5,0,0,0.0,45
passou,5,0,0,0.0,46
tenho,5,0,0,0.0,47
cinema,5,0,0,0.0,48
época,5,0,0,0.0,49
público,5,0,0,0.0,50
web,5,0,0,0.0,51
jeito,5,0,0,0.0,0
caso,5,0,0,0.0,1
ficar,5,0,0,0.0,3
mulher,5,0,0,0.0,7
tentando,5,0,0,0.0,8
precisa,5,0,0,0.0,9
planta,5,0,0,0.0,11
odeio,5,0,0,0.0,12
família,5,0,0,0.0,24
chamando,5,0,0,0.0,26
