source,target,weight
ivy,fazendo,1
ivy,mutirão,1
ivy,forababu,2
ivy,amo,1
ivy,amizade,1
ivy,oxemarcelinho,1
ivy,achei,1
ivy,fernanda,1
ivy,ia,1
ivy,anapaularenault,1
ivy,babu,2
ivy,aninha,1
ivy,amore,1
ivy,colocarem,2
ivy,sequência,1
ivy,crime,1
ivy,contra,1
ivy,entretenimento,1
fazendo,mutirão,1
fazendo,forababu,1
fazendo,mal,1
fazendo,penso,1
fazendo,anapaula,2
fazendo,renault,1
fazendo,aline,1
fazendo,eh,1
fazendo,chata,1
fazendo,p,1
fazendo,caralho,1
fazendo,paga,1
fazendo,evoluída,1
fazendo,resgatando,1
fazendo,10,2
fazendo,anos,2
fazendo,atrás,1
fazendo,achando,1
fazendo,grande,1
fazendo,mousse,1
fazendo,filha,1
fazendo,viver,1
fazendo,ngm,1
fazendo,liga,1
fazendo,roupa,1
fazendo,babu,1
fazendo,felizinho,1
fazendo,compras,1
fazendo,comer,1
mutirão,forababu,1
forababu,chato,1
forababu,outra,1
forababu,torci,1
forababu,começou,2
forababu,kkkkkkkkkk,1
forababu,teammarcelinho,1
forababu,amo,1
forababu,amizade,1
forababu,oxemarcelinho,1
forababu,achei,1
forababu,fernanda,1
forababu,ia,1
forababu,anapaularenault,1
forababu,babu,2
forababu,aninha,1
forababu,amore,1
forababu,descobrir,1
forababu,anapaula,1
forababu,puxou,1
chato,outra,1
chato,torci,1
chato,começou,1
chato,kkkkkkkkkk,1
chato,babu,2
chato,parece,2
chato,freela,4
chato,pega,4
chato,nada,2
chato,vista,2
chato,coisas,2
chato,melhoram,2
chato,fala,2
chato,vou,2
chato,pegar,2
chato,chato,1
chato,piora,2
chato,novo,4
outra,torci,1
outra,começou,1
outra,kkkkkkkkkk,1
outra,vendo,1
outra,babu,1
outra,novo,1
outra,pensando,1
outra,dois,1
outra,melhores,1
outra,filmes,1
outra,brasileiros,1
outra,estrearam,1
outra,passado,1
outra,oeste,1
outra,kasa,1
outra,branca,1
torci,começou,1
torci,kkkkkkkkkk,1
torci,gostei,1
torci,anapaula,1
torci,renault,1
torci,diva,1
torci,contar,1
torci,defendeu,1
torci,isabelle,1
torci,nogueira,1
torci,vença,1
torci,26,1
torci,ana,1
torci,isa,1
