Source,Target,Weight
#bbb,#bbb26,158
#bbb26,#redebbb,70
#bbb,#redebbb,54
#alereality,#bbb,26
#alereality,#bbb26,26
#bbb26,#ibahia,20
#bbb26,#maratonabigday,16
#bbb26,#teammarcelinho,16
#redebbb,#teammarcelinho,16
#bbb26,#casadevidro,15
#bbb,#ibahia,15
#marcelinhonobbb,#teammarcelinho,13
#bbb26,#realityshow,13
#bbb26,#marcelinhonobbb,13
#marcelinhonobbb,#redebbb,13
#bbb,#casadevidro,13
#realityshow,#tv,13
#ibahia,#realityshow,13
#bbb26,#tv,13
#ibahia,#tv,13
#bbb,#tv,12
#bbb,#realityshow,12
#realityshow,#tvglobo,11
#teammarcelinho,#teammarcelo,11
#bbb26,#teammarcelo,11
#tv,#tvglobo,11
#bbb26,#tvglobo,11
#ibahia,#tvglobo,11
#marcelinhonobbb,#teammarcelo,11
#redebbb,#teammarcelo,11
#maratonabigday,#redebbb,10
#bbb,#tvglobo,10
#maratonabigday,#marcelinhonobbb,9
#maratonabigday,#teammarcelinho,9
#bbb,#maratonabigday,8
#maratonabigday,#teammarcelo,7
#bbb26,#pipocabbb,6
#pipocabbb,#redebbb,6
#marcelinhonobbb,#pipocabbb,6
#maratonabigday,#pipocabbb,6
#pipocabbb,#teammarcelinho,6
#bbb26,#seleçãobbb,5
#casadevidro,#seleçãobbb,5
#bbb,#seleçãobbb,5
#julianofloss,#realityshow,4
#bbb26,#forababu,4
#bbb26,#brigido,4
#brigido,#ibahia,4
#pipocabbb,#teammarcelo,4
#casadevidro,#redebbb,4
#julianofloss,#tv,4
#bbb26,#julianofloss,4
#bbb,#julianofloss,4
#ibahia,#julianofloss,4
#bbb26,#milena,4
#julianofloss,#tvglobo,4
#ibahia,#milena,3
#bbb26,#pedro,3
#ibahia,#pedro,3
#globo,#realityshow,3
#bbb26,#globo,3
#bbb,#globo,3
#bbb,#pedro,3
#webtv,#webtvbrasileira,3
#bbb26,#webtvbrasileira,3
#globo,#ibahia,3
#globo,#tv,3
#bbb,#webtv,3
#milena,#tvglobo,3
#pedro,#realityshow,3
#pedro,#tv,3
#bbb,#milena,3
#milena,#tv,3
#bbb26,#webtv,3
#bbb,#webtvbrasileira,3
#pedro,#tvglobo,3
#milena,#realityshow,3
#forababu,#redebbb,2
#globo,#tvglobo,2
#casadevidro,#teammarcelo,2
#casadevidro,#teammarcelinho,2
#casadevidro,#marcelinhonobbb,2
#casadevidro,#maratonabigday,2
#julianofloss,#pedro,2
