uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did,text_clean
at://did:plc:vlhpwoomawpontli3gpvxavc/app.bsky.feed.post/3mcbj5orpck26,bafyreieete4l7vahbnk6qm2uflak4atu25xs7mayr4mr4jjitb2ns6vl3q,"ivy já fazendo o mutirão #forababu 
#bbb26",2026-01-13 02:30:44.171000+00:00,0,0,2,2026-01-13T02:30:50.730Z,thainventa.bsky.social,Thaisa,did:plc:vlhpwoomawpontli3gpvxavc,ivy fazendo mutirão forababu
at://did:plc:ksh7ckrh4fyn3oog46xlovsf/app.bsky.feed.post/3mcbnq4ald223,bafyreicqqeylyp4mz623co3k2ncdqzw2ugmgijektd73lvliojduezaiuy,"ele é muito chato kkkkkk na outra edição torci pra ele sair, nesse, nem começou já sou #forababu kkkkkkkkkk",2026-01-13 03:52:37.236000+00:00,0,0,1,2026-01-13T03:52:38.230Z,francastro.bsky.social, Фран Кастро,did:plc:ksh7ckrh4fyn3oog46xlovsf,chato outra torci começou forababu kkkkkkkkkk
at://did:plc:ksh7ckrh4fyn3oog46xlovsf/app.bsky.feed.post/3mcbmbkygas23,bafyreibshi4geq74bmmvq754hua7u2qtgght2tshtm6ahnglflypnfn36u,"o @bbb nem começou e já sou #forababu 

#teammarcelinho #bbb26 #redebbb",2026-01-13 03:26:35.640000+00:00,0,0,0,2026-01-13T03:26:36.036Z,francastro.bsky.social, Фран Кастро,did:plc:ksh7ckrh4fyn3oog46xlovsf,começou forababu teammarcelinho
at://did:plc:ksh7ckrh4fyn3oog46xlovsf/app.bsky.feed.post/3mccize6uv22u,bafyreifgoqffkrwy4s74n5hkt7v6izpbyyj2kaut3rykw2swbqifbbjmvm,"amo essa amizade!! 

@oxemarcelinho: “achei q a fernanda ia entrar” 
@anapaularenault: “e eu a ivy pra votar no babu”   

aninha amore, já somos #forababu 

#redebbb #bbb26",2026-01-13 12:00:58.586000+00:00,0,0,0,2026-01-13T12:01:05.336Z,francastro.bsky.social, Фран Кастро,did:plc:ksh7ckrh4fyn3oog46xlovsf,amo amizade oxemarcelinho achei fernanda ia anapaularenault ivy babu aninha amore forababu
at://did:plc:q3rjlpj5i7leyv2cef7dfwfc/app.bsky.feed.post/3mcgvahxb2c2u,bafyreid3f3nlswx2dema2cpszxqpcidzts3v7lvcw7r7pzgesggxprd2gq,"e quando o babu descobrir que a anapaula puxou um #forababu na edição dele????
#bbb26",2026-01-15 05:50:21.267000+00:00,1,0,0,2026-01-15T05:50:21.030Z,l3l3ck4.bsky.social,L3l3ck4 ,did:plc:q3rjlpj5i7leyv2cef7dfwfc,babu descobrir anapaula puxou forababu
at://did:plc:wrfz6gvjqduh6kwh5rzvr36i/app.bsky.feed.post/3mcbhktotns2q,bafyreier7oeuxpoqrhftszvbfyigh42qotvwve6cnygn24f42kbqm5gojq,ja sou #teambabu ✌️✨ #bbb26,2026-01-13 02:02:18.044000+00:00,0,0,0,2026-01-13T02:02:18.330Z,jaquezux.bsky.social,jaque.,did:plc:wrfz6gvjqduh6kwh5rzvr36i,teambabu
at://did:plc:jjcfdyu7ydtuud7jg6ganwtw/app.bsky.feed.post/3mcbfrhgohk2p,bafyreidodijeex5otzfcwneos7ydbjs3dnt4e6magucmm2drvyclio5zkm,se o babu voltar mesmo serei #teambabu até o fim,2026-01-13 01:30:12.591000+00:00,0,0,0,2026-01-13T01:30:13.936Z,voltandoao405.bsky.social,concurso de sosia davi brito,did:plc:jjcfdyu7ydtuud7jg6ganwtw,babu voltar teambabu fim
at://did:plc:iprsguqsz7pzgpdckko2qu5c/app.bsky.feed.post/3mcbiht62z227,bafyreidqok6znszegzbzpj4hm23nr4qkjq3oci7h7uz7plwzlhc6ftd4xa,e mais uma vez vamos de #teambabu,2026-01-13 02:18:30.572000+00:00,0,0,0,2026-01-13T02:18:29.696Z,elimafra.bsky.social,Elisa Mafra,did:plc:iprsguqsz7pzgpdckko2qu5c,teambabu
at://did:plc:wptswlp3mrcsiyfln6ugricj/app.bsky.feed.post/3mcdjvode7s2h,bafyreicnvrshhap2iyv42cczrwuavmscafvgty72tiyrpu6iu3wfikssdq,"eu 3h atrás: esse ano não vou assistir bbb
eu vendo que o babu está  no bbb: esqueça tudo o que falei. vou ter que assistir sim e ser #teambabu mais um ano!",2026-01-13 21:49:28.484000+00:00,0,0,0,2026-01-13T21:49:30.228Z,elosemh.bsky.social,Elo 🚩🇪🇪🫰🏻,did:plc:wptswlp3mrcsiyfln6ugricj,3h atrás vou vendo babu esqueça tudo falei vou sim teambabu
at://did:plc:ulwao7ndua3xppebdwn3kwty/app.bsky.feed.post/3mcqamjkuts23,bafyreicwlp4xzn7qabrychyyza34yorosh4kirh575cc6nqeu7g2dqkfky,anapaula sente cheiro de assediador #bbb,2026-01-18 23:07:54.420000+00:00,3,27,193,2026-01-18T23:07:55.332Z,felipeabal.viracasacas.com,Felipe Abal,did:plc:ulwao7ndua3xppebdwn3kwty,anapaula sente cheiro assediador
