uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
at://did:plc:vlhpwoomawpontli3gpvxavc/app.bsky.feed.post/3mcbj5orpck26,bafyreieete4l7vahbnk6qm2uflak4atu25xs7mayr4mr4jjitb2ns6vl3q,"Ivy já fazendo o mutirão #forababu 
#bbb26",2026-01-13 02:30:44.171000+00:00,0,0,2,2026-01-13T02:30:50.730Z,thainventa.bsky.social,Thaisa,did:plc:vlhpwoomawpontli3gpvxavc
at://did:plc:ksh7ckrh4fyn3oog46xlovsf/app.bsky.feed.post/3mcbnq4ald223,bafyreicqqeylyp4mz623co3k2ncdqzw2ugmgijektd73lvliojduezaiuy,"Ele é muito chato kkkkkk na outra edição torci pra ele sair, nesse, nem começou já sou #ForaBabu kkkkkkkkkk",2026-01-13 03:52:37.236000+00:00,0,0,1,2026-01-13T03:52:38.230Z,francastro.bsky.social, Фран Кастро,did:plc:ksh7ckrh4fyn3oog46xlovsf
at://did:plc:ksh7ckrh4fyn3oog46xlovsf/app.bsky.feed.post/3mcbmbkygas23,bafyreibshi4geq74bmmvq754hua7u2qtgght2tshtm6ahnglflypnfn36u,"O @BBB nem começou e já sou #ForaBabu 

#TeamMarcelinho #BBB26 #RedeBBB",2026-01-13 03:26:35.640000+00:00,0,0,0,2026-01-13T03:26:36.036Z,francastro.bsky.social, Фран Кастро,did:plc:ksh7ckrh4fyn3oog46xlovsf
at://did:plc:ksh7ckrh4fyn3oog46xlovsf/app.bsky.feed.post/3mccize6uv22u,bafyreifgoqffkrwy4s74n5hkt7v6izpbyyj2kaut3rykw2swbqifbbjmvm,"Amo essa amizade!! 

@oxemarcelinho: “achei q a Fernanda ia entrar” 
@anapaularenault: “e eu a Ivy pra votar no Babu”   

Aninha amore, já somos #ForaBabu 

#RedeBBB #BBB26",2026-01-13 12:00:58.586000+00:00,0,0,0,2026-01-13T12:01:05.336Z,francastro.bsky.social, Фран Кастро,did:plc:ksh7ckrh4fyn3oog46xlovsf
at://did:plc:q3rjlpj5i7leyv2cef7dfwfc/app.bsky.feed.post/3mcgvahxb2c2u,bafyreid3f3nlswx2dema2cpszxqpcidzts3v7lvcw7r7pzgesggxprd2gq,"E quando o Babu descobrir que a Ana Paula puxou um #ForaBabu na edição dele????
#BBB26",2026-01-15 05:50:21.267000+00:00,1,0,0,2026-01-15T05:50:21.030Z,l3l3ck4.bsky.social,L3l3ck4 ,did:plc:q3rjlpj5i7leyv2cef7dfwfc
at://did:plc:wrfz6gvjqduh6kwh5rzvr36i/app.bsky.feed.post/3mcbhktotns2q,bafyreier7oeuxpoqrhftszvbfyigh42qotvwve6cnygn24f42kbqm5gojq,ja sou #TeamBabu ✌️✨ #BBB26,2026-01-13 02:02:18.044000+00:00,0,0,0,2026-01-13T02:02:18.330Z,jaquezux.bsky.social,jaque.,did:plc:wrfz6gvjqduh6kwh5rzvr36i
at://did:plc:jjcfdyu7ydtuud7jg6ganwtw/app.bsky.feed.post/3mcbfrhgohk2p,bafyreidodijeex5otzfcwneos7ydbjs3dnt4e6magucmm2drvyclio5zkm,se o babu voltar mesmo serei #teamBabu até o fim,2026-01-13 01:30:12.591000+00:00,0,0,0,2026-01-13T01:30:13.936Z,voltandoao405.bsky.social,concurso de sosia davi brito,did:plc:jjcfdyu7ydtuud7jg6ganwtw
at://did:plc:iprsguqsz7pzgpdckko2qu5c/app.bsky.feed.post/3mcbiht62z227,bafyreidqok6znszegzbzpj4hm23nr4qkjq3oci7h7uz7plwzlhc6ftd4xa,E mais uma vez vamos de #TeamBabu,2026-01-13 02:18:30.572000+00:00,0,0,0,2026-01-13T02:18:29.696Z,elimafra.bsky.social,Elisa Mafra,did:plc:iprsguqsz7pzgpdckko2qu5c
at://did:plc:wptswlp3mrcsiyfln6ugricj/app.bsky.feed.post/3mcdjvode7s2h,bafyreicnvrshhap2iyv42cczrwuavmscafvgty72tiyrpu6iu3wfikssdq,"Eu 3h atrás: Esse ano não vou assistir BBB
Eu vendo que o Babu está  no BBB: Esqueça tudo o que falei. Vou ter que assistir sim e ser #TeamBabu mais um ano!",2026-01-13 21:49:28.484000+00:00,0,0,0,2026-01-13T21:49:30.228Z,elosemh.bsky.social,Elo 🚩🇪🇪🫰🏻,did:plc:wptswlp3mrcsiyfln6ugricj
at://did:plc:ksh7ckrh4fyn3oog46xlovsf/app.bsky.feed.post/3mcmwsf7uec2o,bafyreidvjda6ttchk42k6liix4tpp75sqznm6qsqfc7ooicqytm3ipennm,"É hoje que vou levar block e unfollow dos meus seguidores no twitter por causa do @oxemarcelinho e do @BBB
 kkkkkkkkkkkkkkkkkkkkkkk 

 #TeamMarcelinho #TeamMarcelo #MarcelinhoNoBBB #BBB26 #RedeBBB",2026-01-17 15:34:14.558000+00:00,0,0,0,2026-01-17T15:34:15.237Z,francastro.bsky.social, Фран Кастро,did:plc:ksh7ckrh4fyn3oog46xlovsf
at://did:plc:ksh7ckrh4fyn3oog46xlovsf/app.bsky.feed.post/3mc6rnz6zvs26,bafyreid5f6ei3vk2ld7li5pnjydsqkakqipc2rvtyqttfynvqrpvfcziay,"SE realmente a @anapaularenault realmente estiver no #BBB26 espero que ela seja ""amiga de infância"" do @oxemarcelinho, e eles coloquem pra quebrar ali dentro até a final e ganhem esse @BBB 

#TeamMarcelo #TeamMarcelinho #BBB26 #RedeBBB #MaratonaBigDay #PipocaBBB #MarcelinhoNoBBB",2026-01-12 00:25:02.683000+00:00,0,0,0,2026-01-12T00:25:07.040Z,francastro.bsky.social, Фран Кастро,did:plc:ksh7ckrh4fyn3oog46xlovsf
at://did:plc:ksh7ckrh4fyn3oog46xlovsf/app.bsky.feed.post/3mc6pzzh46c26,bafyreic5vqzpivp6nf7eaf3rtl7lew352pjbggg3mciv7imgqnsomjeh5e,"#MarcelinhoNoBBB #TeamMarcelo #TeamMarcelinho #BBB26 #RedeBBB #MaratonaBigDay #PipocaBBB

Rafaela ❌
Marcelo ✅
Jordana✅ 
Ricardo  ❌
Gabriela ❌ 
Breno ❌
Samira✅ 
Pedro ✅
Marciele ✅ 
Ricardinho❌

Quem será que está no Camarote??",2026-01-11 23:55:58.106000+00:00,0,0,1,2026-01-11T23:56:06.980Z,francastro.bsky.social, Фран Кастро,did:plc:ksh7ckrh4fyn3oog46xlovsf
at://did:plc:ksh7ckrh4fyn3oog46xlovsf/app.bsky.feed.post/3mc6rew3gcc26,bafyreidkpbuupmcxb47suhj6d4bq6vfy5u6fo2xdcyolhh7ff47g65ebbm,"Eu praticamente só votei em todos só 1x, o único que votei várias vezes foi o @oxemarcelinho, mas gostei, não entrou todos que votei, mas o negócio é a partir de amanhã... Ansioso!   mas em partes gostei 
#TeamMarcelo #TeamMarcelinho #BBB26 #RedeBBB #MaratonaBigDay #PipocaBBB #MarcelinhoNoBBB",2026-01-12 00:19:57.429000+00:00,0,0,0,2026-01-12T00:19:58.335Z,francastro.bsky.social, Фран Кастро,did:plc:ksh7ckrh4fyn3oog46xlovsf
at://did:plc:ksh7ckrh4fyn3oog46xlovsf/app.bsky.feed.post/3mc6qqeuovk26,bafyreiapdmziiex7rsj5cjzn4ovettyuythaluq6zejhfgfzaq5bjcukmm,"E aí gostaram do resultado?? 
Eu tava torcendo apenas pelo @oxemarcelinho, os outros tava pelo tanto faz... 
Gostei em partes, e vcs??

#MarcelinhoNoBBB #TeamMarcelo #TeamMarcelinho #BBB26 #RedeBBB #MaratonaBigDay",2026-01-12 00:08:28.293000+00:00,1,0,0,2026-01-12T00:08:28.932Z,francastro.bsky.social, Фран Кастро,did:plc:ksh7ckrh4fyn3oog46xlovsf
at://did:plc:ksh7ckrh4fyn3oog46xlovsf/app.bsky.feed.post/3mc6tbkcdkc26,bafyreihejx4e3l754v274axzsnfps2ks6wwjibrou4ffo6576wfaivbdgq, #TeamMarcelinho #BBB26 #RedeBBB #MaratonaBigDay #PipocaBBB #MarcelinhoNoBBB,2026-01-12 00:53:51.893000+00:00,0,0,1,2026-01-12T00:53:53.535Z,francastro.bsky.social, Фран Кастро,did:plc:ksh7ckrh4fyn3oog46xlovsf
